Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
North Carolina,30%,56%,14%
South Carolina,26%,64%,10%
Alabama,23%,68%,9%
Tennessee,27%,60%,13%
Pennsylvania,31%,51%,18%
Georgia,30%,55%,15%
Virginia,30%,53%,17%
Maryland,34%,47%,19%
West Virginia,22%,66%,12%
Kentucky,21%,68%,11%
Delaware,30%,51%,19%
Indiana,20%,66%,14%
Florida,26%,56%,18%
Mississippi,17%,72%,11%
Ohio,21%,64%,15%
New Jersey,30%,47%,23%
Washington,22%,60%,18%
Illinois,24%,57%,19%
Idaho,16%,70%,14%
Arizona,19%,65%,16%
Utah,19%,66%,15%
Oregon,20%,63%,17%
New Hampshire,22%,58%,20%
District of Columbia,27%,41%,32%
Louisiana,15%,74%,11%
Michigan,18%,66%,16%
Connecticut,24%,55%,21%
Massachusetts,24%,51%,25%
Arkansas,15%,73%,12%
New York,24%,49%,27%
Texas,19%,65%,16%
Nevada,19%,65%,16%
Rhode Island,24%,52%,24%
Colorado,16%,67%,17%
Alaska,16%,64%,20%
Montana,13%,74%,13%
California,21%,56%,23%
Missouri,14%,74%,12%
Vermont,18%,64%,18%
Maine,16%,69%,15%
Kansas,11%,77%,12%
Oklahoma,11%,78%,11%
Wyoming,11%,78%,11%
New Mexico,15%,67%,18%
Nebraska,10%,78%,12%
Hawaii,13%,71%,16%
Iowa,11%,77%,12%
Wisconsin,12%,73%,15%
Minnesota,11%,74%,15%
South Dakota,9%,80%,11%
North Dakota,9%,79%,12%
